;Order date;Order type;Workflow status;Business Partner;Container;Front Office Domicile Country;Money Account (-) (leg 1);Money Account (+) (leg 1);Money Account (-) (leg 2);Money Account (+) (leg 2);Bank buys (leg 1);Bank buys (leg 2);Bank sells leg 1;Bank sells leg 2;Asset leg 1;Asset leg 2;Trade date;Value date leg 1;Value date leg 2
137120031;02.12.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CAD recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CAD recon_settle;CAD 250000;EUR 163113.51;EUR 163157.69;CAD 250000;FX Swap Near Leg - CAD/EUR, 05.12.17 (1018366);FX Swap Far Leg - CAD/EUR, 12.12.17 (1018367);01.12.2017;05.12.2017;12.12.2017
137119154;02.12.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 5000000;CHF 5853700;CHF 5853942;EUR 5000000;FX Swap Near Leg - EUR/CHF, 01.12.17 (1018348);FX Swap Far Leg - EUR/CHF, 05.12.17 (1018349);01.12.2017;01.12.2017;05.12.2017
137113439;01.12.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 11000000;CHF 10845890;CHF 10848712.6;USD 11000000;FX Swap Near Leg - USD/CHF, 30.11.17 (1018268);FX Swap Far Leg - USD/CHF, 04.12.17 (1018269);30.11.2017;30.11.2017;04.12.2017
137108048;30.11.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 13000000;CHF 15169771.5;CHF 15170018.5;EUR 13000000;FX Swap Near Leg - EUR/CHF, 29.11.17 (1018171);FX Swap Far Leg - EUR/CHF, 30.11.17 (1018172);29.11.2017;29.11.2017;30.11.2017
137108002;30.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.ZAR recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.ZAR recon_settle;ZAR 500000;USD 36440.18;USD 36635.52;ZAR 500000;FX Swap Near Leg - ZAR/USD, 30.11.17 (1018168);FX Swap Far Leg - ZAR/USD, 02.01.18 (1018169);29.11.2017;30.11.2017;02.01.2018
137100763;29.11.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 17000000;CHF 19863408.6;CHF 19863644.9;EUR 17000000;FX Swap Near Leg - EUR/CHF, 28.11.17 (1018010);FX Swap Far Leg - EUR/CHF, 29.11.17 (1018011);28.11.2017;28.11.2017;29.11.2017
137103823;29.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CAD recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CAD recon_settle;CAD 250000;USD 195068.66;USD 195057.25;CAD 250000;FX Swap Near Leg - CAD/USD, 28.11.17 (1018125);FX Swap Far Leg - CAD/USD, 05.12.17 (1018126);28.11.2017;28.11.2017;05.12.2017
137095003;28.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 14000000;CHF 16372609.4;CHF 16372865.6;EUR 14000000;FX Swap Near Leg - EUR/CHF, 27.11.17 (1017904);FX Swap Far Leg - EUR/CHF, 28.11.17 (1017905);27.11.2017;27.11.2017;28.11.2017
137067638;23.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 11790700;EUR 10000000;EUR 10000000;USD 11824110;FX Swap Near Leg - EUR/USD, 24.11.17 (1017626);FX Swap Far Leg - EUR/USD, 05.01.18 (1017627);22.11.2017;24.11.2017;05.01.2018
137065714;23.11.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.JPY recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.JPY recon_settle;JPY 900000000;EUR 6821566.76;EUR 6825369.14;JPY 900000000;FX Swap Near Leg - JPY/EUR, 27.11.17 (1017548);FX Swap Far Leg - JPY/EUR, 29.01.18 (1017549);22.11.2017;27.11.2017;29.01.2018
137065818;23.11.2017;FX swap;Done;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.USD recon_settle;8000132.MM MACC.SETTLE.OUT.CHF recon_settle;8000132.MM MACC.SETTLE.IN.CHF recon_settle;8000132.MM MACC.SETTLE.OUT.USD recon_settle;USD 10000000;CHF 9895000;CHF 9896550;USD 10000000;FX Swap Near Leg - USD/CHF, 22.11.17 (1017551);FX Swap Far Leg - USD/CHF, 24.11.17 (1017552);22.11.2017;22.11.2017;24.11.2017
137060334;22.11.2017;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 11735900;EUR 10000000;EUR 10000000;USD 11757090;FX Swap Near Leg - EUR/USD, 24.11.17 (1017433);FX Swap Far Leg - EUR/USD, 27.12.17 (1017434);21.11.2017;24.11.2017;27.12.2017
137055292;21.11.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 15000000;CHF 14826000;CHF 14827768.5;USD 15000000;FX Swap Near Leg - USD/CHF, 20.11.17 (1017341);FX Swap Far Leg - USD/CHF, 22.11.17 (1017342);20.11.2017;20.11.2017;22.11.2017
137055352;21.11.2017;FX swap;Done;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.USD recon_settle;8000132.MM MACC.SETTLE.OUT.CHF recon_settle;8000132.MM MACC.SETTLE.IN.CHF recon_settle;8000132.MM MACC.SETTLE.OUT.USD recon_settle;USD 8000000;CHF 7907200;CHF 7908360;USD 8000000;FX Swap Near Leg - USD/CHF, 20.11.17 (1017349);FX Swap Far Leg - USD/CHF, 22.11.17 (1017350);20.11.2017;20.11.2017;22.11.2017
137054943;21.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 11807430;EUR 10000000;EUR 10000000;USD 11827100;FX Swap Near Leg - EUR/USD, 20.11.17 (1017316);FX Swap Far Leg - EUR/USD, 22.12.17 (1017317);20.11.2017;20.11.2017;22.12.2017
137046434;18.11.2017;FX swap;Reversed;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.MM MACC.SETTLE.IN.USD recon_settle;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;0000255.MM MACC.SETTLE.OUT.USD recon_settle;USD 16000000;CHF 15864320;CHF 15868112;USD 16000000;FX Swap Near Leg - USD/CHF, 17.11.17 (1017238);FX Swap Far Leg - USD/CHF, 17.11.17 (1017239);17.11.2017;16.11.2017;21.11.2017
137048218;18.11.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 17671050;EUR 15000000;EUR 15000000;USD 17698605;FX Swap Near Leg - EUR/USD, 21.11.17 (1017276);FX Swap Far Leg - EUR/USD, 21.12.17 (1017277);17.11.2017;21.11.2017;21.12.2017
137046395;18.11.2017;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 8000000;CHF 9356127.2;CHF 9356459.2;EUR 8000000;FX Swap Near Leg - EUR/CHF, 17.11.17 (1017234);FX Swap Far Leg - EUR/CHF, 20.11.17 (1017235);17.11.2017;17.11.2017;20.11.2017
137046728;18.11.2017;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.MM MACC.SETTLE.IN.USD recon_settle;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;0000255.MM MACC.SETTLE.OUT.USD recon_settle;USD 16000000;CHF 15864320;CHF 15868112;USD 16000000;FX Swap Near Leg - USD/CHF, 17.11.17 (1017243);FX Swap Far Leg - USD/CHF, 21.11.17 (1017244);17.11.2017;17.11.2017;21.11.2017
137047332;18.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CAD recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CAD recon_settle;CAD 1700000;USD 1327540.05;USD 1327275.75;CAD 1700000;FX Swap Near Leg - CAD/USD, 17.11.17 (1017263);FX Swap Far Leg - CAD/USD, 12.12.17 (1017264);17.11.2017;17.11.2017;12.12.2017
137040989;17.11.2017;FX swap;Reversed;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 15000000;CHF 14875500;CHF 14878980;USD 15000000;FX Swap Near Leg - USD/CHF, 16.11.17 (1017078);FX Swap Far Leg - USD/CHF, 16.11.17 (1017079);16.11.2017;16.11.2017;20.11.2017
137042159;17.11.2017;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.MM MACC.SETTLE.IN.USD recon_settle;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;0000255.MM MACC.SETTLE.OUT.USD recon_settle;USD 5000000;CHF 4962800;CHF 4963965;USD 5000000;FX Swap Near Leg - USD/CHF, 16.11.17 (1017126);FX Swap Far Leg - USD/CHF, 20.11.17 (1017127);16.11.2017;16.11.2017;20.11.2017
137040911;17.11.2017;FX swap;Done;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.EUR recon_settle;8000132.MM MACC.SETTLE.OUT.CHF recon_settle;8000132.MM MACC.SETTLE.IN.CHF recon_settle;8000132.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 9000000;CHF 10508166;CHF 10508481;EUR 9000000;FX Swap Near Leg - EUR/CHF, 16.11.17 (1017071);FX Swap Far Leg - EUR/CHF, 17.11.17 (1017072);16.11.2017;16.11.2017;17.11.2017
137041833;17.11.2017;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.MM MACC.SETTLE.IN.USD recon_settle;0000255.MM MACC.SETTLE.OUT.CHF recon_settle;0000255.MM MACC.SETTLE.IN.CHF recon_settle;0000255.MM MACC.SETTLE.OUT.USD recon_settle;USD 15000000;CHF 14875500;CHF 14878980;USD 15000000;FX Swap Near Leg - USD/CHF, 16.11.17 (1017106);FX Swap Far Leg - USD/CHF, 20.11.17 (1017107);16.11.2017;16.11.2017;20.11.2017
137036097;16.11.2017;FX swap;Reversed;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 15000000;CHF 17516730;CHF 17516730;EUR 15000000;FX Swap Near Leg - EUR/CHF, 15.11.17 (1016936);FX Swap Far Leg - EUR/CHF, 15.11.17 (1016937);15.11.2017;15.11.2017;16.11.2017
137038133;16.11.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 2000000;USD 2362509.6;USD 2362400;EUR 2000000;FX Swap Near Leg - EUR/USD, 15.11.17 (1017007);FX Swap Far Leg - EUR/USD, 16.11.17 (1017008);15.11.2017;15.11.2017;16.11.2017
137036555;16.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 15000000;CHF 17516730;CHF 17517000;EUR 15000000;FX Swap Near Leg - EUR/CHF, 15.11.17 (1016959);FX Swap Far Leg - EUR/CHF, 16.11.17 (1016960);15.11.2017;15.11.2017;16.11.2017
137036186;16.11.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 20000000;CHF 19728800;CHF 19731098;USD 20000000;FX Swap Near Leg - USD/CHF, 15.11.17 (1016940);FX Swap Far Leg - USD/CHF, 17.11.17 (1016941);15.11.2017;15.11.2017;17.11.2017
137032271;15.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;USD 5873394;EUR 5000000;EUR 5000000;USD 5873670;FX Swap Near Leg - EUR/USD, 14.11.17 (1016858);FX Swap Far Leg - EUR/USD, 15.11.17 (1016859);14.11.2017;14.11.2017;15.11.2017
137027224;14.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 14910900;USD 15000000;USD 15000000;CHF 14904735;FX Swap Near Leg - USD/CHF, 15.11.17 (1016705);FX Swap Far Leg - USD/CHF, 22.11.17 (1016706);13.11.2017;15.11.2017;22.11.2017
137026887;14.11.2017;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 5000000;CHF 5792900;CHF 5793175;EUR 5000000;FX Swap Near Leg - EUR/CHF, 13.11.17 (1016694);FX Swap Far Leg - EUR/CHF, 16.11.17 (1016695);13.11.2017;13.11.2017;16.11.2017
135785511;11.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 11603600;EUR 10000000;EUR 10000000;CHF 11602820;FX Swap Near Leg - EUR/CHF, 14.11.17 (1016584);FX Swap Far Leg - EUR/CHF, 21.11.17 (1016585);10.11.2017;14.11.2017;21.11.2017
135763521;07.11.2017;FX swap;Done;BANK JULIUS BAER ZURICH;8000132.3001 AUX Interim money trading (23);;8000132.MM MACC.SETTLE.IN.USD recon_settle;8000132.MM MACC.SETTLE.OUT.EUR recon_settle;8000132.MM MACC.SETTLE.IN.EUR recon_settle;8000132.MM MACC.SETTLE.OUT.USD recon_settle;USD 11585000;EUR 10000000;EUR 10000000;USD 11602960;FX Swap Near Leg - EUR/USD, 08.11.17 (1016102);FX Swap Far Leg - EUR/USD, 08.12.17 (1016103);06.11.2017;08.11.2017;08.12.2017
135763323;07.11.2017;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.MM MACC.SETTLE.IN.USD recon_settle;000025502978 BE87480945108794 Nostro Account EUR;000025502978 BE87480945108794 Nostro Account EUR;0000255.MM MACC.SETTLE.OUT.USD recon_settle;USD 11589460;EUR 10000000;EUR 10000000;USD 11608280;FX Swap Near Leg - EUR/USD, 06.11.17 (1016098);FX Swap Far Leg - EUR/USD, 08.12.17 (1016099);06.11.2017;06.11.2017;08.12.2017
135755202;04.11.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 11616200;EUR 10000000;EUR 10000000;CHF 11615670;FX Swap Near Leg - EUR/CHF, 07.11.17 (1015990);FX Swap Far Leg - EUR/CHF, 14.11.17 (1015991);03.11.2017;07.11.2017;14.11.2017
135753131;04.11.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.JPY recon_settle;0000123.MM MACC.SETTLE.IN.JPY recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;USD 1752587.26;JPY 200000000;JPY 200000000;USD 1754021.16;FX Swap Near Leg - JPY/USD, 07.11.17 (1015940);FX Swap Far Leg - JPY/USD, 27.11.17 (1015941);03.11.2017;07.11.2017;27.11.2017
135747815;03.11.2017;FX swap;Done;KBC BANK BRUSSELS;0000255.3003 AUX Interim money trading (23);;0000255.2001 BE27488591888273AUD Nostro Account AUD;0000255.MM MACC.SETTLE.OUT.USD recon_settle;0000255.MM MACC.SETTLE.IN.USD recon_settle;0000255.2001 BE27488591888273AUD Nostro Account AUD;AUD 500000;USD 384997;USD 385026.5;AUD 500000;FX Swap Near Leg - AUD/USD, 03.11.17 (1015828);FX Swap Far Leg - AUD/USD, 13.11.17 (1015829);02.11.2017;03.11.2017;13.11.2017
135731818;31.10.2017;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 11637617;EUR 10000000;EUR 10000000;USD 11656200;FX Swap Near Leg - EUR/USD, 31.10.17 (1015539);FX Swap Far Leg - EUR/USD, 30.11.17 (1015540);30.10.2017;31.10.2017;30.11.2017
135725524;28.10.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.ZAR recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.ZAR recon_settle;ZAR 500000;USD 35084.89;USD 35273.37;ZAR 500000;FX Swap Near Leg - ZAR/USD, 31.10.17 (1015466);FX Swap Far Leg - ZAR/USD, 30.11.17 (1015467);27.10.2017;31.10.2017;30.11.2017
135721563;27.10.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CHF recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 5977920;USD 6000000;USD 6000000;CHF 5975514;FX Swap Near Leg - USD/CHF, 30.10.17 (1015364);FX Swap Far Leg - USD/CHF, 06.11.17 (1015365);26.10.2017;30.10.2017;06.11.2017
135721471;27.10.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.USD recon_settle;0000123.MM MACC.SETTLE.IN.USD recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 5000000;USD 5854175;USD 5852100;EUR 5000000;FX Swap Near Leg - EUR/USD, 30.10.17 (1015355);FX Swap Far Leg - EUR/USD, 06.11.17 (1015356);26.10.2017;30.10.2017;06.11.2017
135721423;27.10.2017;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.CAD recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.CAD recon_settle;CAD 750000;USD 585069.04;USD 585067.67;CAD 750000;FX Swap Near Leg - CAD/USD, 26.10.17 (1015350);FX Swap Far Leg - CAD/USD, 27.10.17 (1015351);26.10.2017;26.10.2017;27.10.2017
135721372;27.10.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.CAD recon_settle;0000593.MM MACC.SETTLE.OUT.USD recon_settle;0000593.MM MACC.SETTLE.IN.USD recon_settle;0000593.MM MACC.SETTLE.OUT.CAD recon_settle;CAD 1000000;USD 780070.81;USD 780055.54;CAD 1000000;FX Swap Near Leg - CAD/USD, 27.10.17 (1015347);FX Swap Far Leg - CAD/USD, 30.10.17 (1015348);26.10.2017;27.10.2017;30.10.2017
135701155;25.10.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.CHF recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 11634500;EUR 10000000;EUR 10000000;CHF 11633750;FX Swap Near Leg - EUR/CHF, 26.10.17 (1015109);FX Swap Far Leg - EUR/CHF, 02.11.17 (1015110);24.10.2017;26.10.2017;02.11.2017
135695036;24.10.2017;FX swap;Done;LANDESBANK BADEN-WUERTTEM;0000123.3003 AUX Interim money trading (23);;0000123.MM MACC.SETTLE.IN.JPY recon_settle;0000123.MM MACC.SETTLE.OUT.EUR recon_settle;0000123.MM MACC.SETTLE.IN.EUR recon_settle;0000123.MM MACC.SETTLE.OUT.JPY recon_settle;JPY 1200000000;EUR 8977795.67;EUR 8980758.72;JPY 1200000000;FX Swap Near Leg - JPY/EUR, 25.10.17 (1014981);FX Swap Far Leg - JPY/EUR, 27.11.17 (1014982);23.10.2017;25.10.2017;27.11.2017
135691242;24.10.2017;FX swap;Done;CORNER BANCA S.A. LUGANO;0000937.3002 AUX Interim money trading (23);;0000937.MM MACC.SETTLE.IN.EUR recon_settle;0000937.MM MACC.SETTLE.OUT.CHF recon_settle;0000937.MM MACC.SETTLE.IN.CHF recon_settle;0000937.MM MACC.SETTLE.OUT.EUR recon_settle;EUR 8638823.74;CHF 10000000;CHF 10000000;EUR 8639308.86;FX Swap Near Leg - CHF/EUR, 24.10.17 (1014929);FX Swap Far Leg - CHF/EUR, 25.10.17 (1014930);23.10.2017;24.10.2017;25.10.2017
135681327;21.10.2017;FX swap;Done;COMMERZBANK AG;0000593.3003 AUX Interim money trading (23);;0000593.MM MACC.SETTLE.IN.ZAR recon_settle;0000593.MM MACC.SETTLE.OUT.EUR recon_settle;0000593.MM MACC.SETTLE.IN.EUR recon_settle;0000593.MM MACC.SETTLE.OUT.ZAR recon_settle;ZAR 806804.85;EUR 50000;EUR 50000;ZAR 808196.3;FX Swap Near Leg - EUR/ZAR, 23.10.17 (1014793);FX Swap Far Leg - EUR/ZAR, 31.10.17 (1014794);20.10.2017;23.10.2017;31.10.2017
135642138;20.10.2017;FX swap;Reversed;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.EUR recon_settle;0001003.MM MACC.SETTLE.IN.EUR recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;USD 11840000;EUR 10000000;EUR 10000000;USD 11859670;FX Swap Near Leg - EUR/USD, 11.10.17 (1013914);FX Swap Far Leg - EUR/USD, 11.10.17 (1013915);11.10.2017;13.10.2017;13.11.2017
135678450;20.10.2017;FX swap;Done;ZUERCHER KB BC 700;0001003.3004 AUX Interim money trading (23);;0001003.MM MACC.SETTLE.IN.CHF recon_settle;0001003.MM MACC.SETTLE.OUT.USD recon_settle;0001003.MM MACC.SETTLE.IN.USD recon_settle;0001003.MM MACC.SETTLE.OUT.CHF recon_settle;CHF 9739000;USD 10000000;USD 10000000;CHF 9734960;FX Swap Near Leg - USD/CHF, 23.10.17 (1014750);FX Swap Far Leg - USD/CHF, 30.10.17 (1014751);19.10.2017;23.10.2017;30.10.2017
